"Uhrzeit";"Pegel"
"00:15";"146"
"00:30";"146"
"00:45";"146"
"01:00";"146"
"01:15";"146"
"01:30";"146"
"01:45";"147"
"02:00";"146"
"02:15";"147"
"02:30";"147"
"02:45";"147"
"03:00";"147"
"03:15";"147"
"03:30";"147"
"03:45";"147"
"04:00";"147"
"04:15";"147"
"04:30";"147"
"04:45";"147"
"05:00";"147"
"05:15";"148"
"05:30";"148"
"05:45";"148"
"06:00";"148"
"06:15";"148"
"06:30";"148"
"06:45";"148"
"07:00";"148"
"07:15";"148"
"07:30";"148"
"07:45";"148"
"08:00";"148"
"08:15";"149"
"08:30";"150"
"08:45";"148"
"09:00";"148"
"09:15";"149"
"09:30";"149"
"09:45";"149"
"10:00";"149"
"10:15";"150"
"10:30";"148"
"10:45";"149"
"11:00";"149"
"11:15";"149"
"11:30";"149"
"11:45";"149"
"12:00";"149"
"12:15";"149"
"12:30";"149"
"12:45";"149"
"13:00";"149"
"13:15";"149"
"13:30";"149"
"13:45";"149"
"14:00";"149"
"14:15";"149"
"14:30";"149"
"14:45";"149"
"15:00";"149"
"15:15";"149"
"15:30";"149"
"15:45";"149"
"16:00";"149"
"16:15";"149"
"16:30";"149"
"16:45";"150"
"17:00";"150"
"17:15";"150"
"17:30";"150"
"17:45";"150"
"18:00";"150"
"18:15";"150"
"18:30";"150"
"18:45";"150"
"19:00";"150"
"19:15";"150"
"19:30";"150"
"19:45";"150"
"20:00";"150"
"20:15";"150"
"20:30";"150"
"20:45";"150"
"21:00";"150"
"21:15";"150"
"21:30";"150"
"21:45";"150"
"22:00";"150"
"22:15";"150"
"22:30";"150"
"22:45";"150"
"23:00";"150"
"23:15";"150"
"23:30";"150"
"23:45";"150"
"24:00";"150"
